P_model,R_model,F1_model_micro_one_lab,F1_model_micro_one_boost,F1_model_micro_mult_lab,F1_model_micro_mult_boost,F1_model_micro_mult_transfer_boost,F1_model_macro_one_lab,F1_model_macro_one_boost,F1_model_macro_mult_lab,F1_model_macro_mult_boost,F1_model_macro_mult_transfer_boost
0.414,0.792,0.544,0.895,0.6439773106439775,0.9009799918334014,0.9033244952070161,0.6599000000000002,0.8926999999999999,0.6975,0.9044000000000001,0.907
0.69,0.805,0.743,0.894,0.6439773106439775,0.9004749122444765,0.903957131079967,0.7558,0.8920999999999999,0.6975,0.9020000000000001,0.9061999999999999
0.689,0.801,0.741,0.895,0.6439773106439775,0.9025651634257343,0.9031123978906007,0.7547,0.8925000000000001,0.6975,0.9041,0.9046
0.589,0.807,0.681,0.895,0.42988218687225144,0.8999591670069416,0.9037006747086485,0.7194,0.8925999999999998,0.6779,0.9019999999999999,0.9065
0.762,0.801,0.781,0.894,0.4178272980501393,0.9029682702149437,0.9099711578079934,0.786,0.891,0.6505000000000001,0.9045,0.9113
0.59,0.811,0.683,0.895,0.4178272980501393,0.9012446439502143,0.9061382902665713,0.7203,0.8926000000000001,0.6505000000000001,0.9023999999999999,0.9078000000000002
0.692,0.81,0.746,0.895,0.4178272980501393,0.900507614213198,0.9040373300872387,0.7593,0.8924000000000001,0.6505000000000001,0.9024000000000001,0.9065999999999999
0.591,0.812,0.684,0.896,0.41704291867766874,0.9041235019297177,0.9046797279464014,0.7213,0.8929,0.6498000000000002,0.9054999999999997,0.9067999999999999
0.591,0.816,0.685,0.895,0.41704291867766874,0.9097257882304611,0.9054371110884423,0.7220000000000002,0.8921000000000001,0.6498000000000002,0.9114000000000001,0.9068999999999999
0.592,0.816,0.686,0.896,0.4295947824227521,0.9038108824128794,0.9077709611451943,0.7220000000000001,0.8933,0.6685000000000001,0.9057999999999999,0.9097999999999999
0.64,0.802,0.712,0.896,0.4295947824227521,0.90579561744829,0.9048932475227297,0.7576,0.8932,0.6685000000000001,0.9067999999999999,0.9064000000000002
0.465,0.777,0.582,0.896,0.42144546649145853,0.9050930660666803,0.9067865903515946,0.6181,0.8937000000000002,0.6613,0.9061,0.908
0.454,0.773,0.572,0.895,0.42226669475458184,0.9038854805725971,0.9071283095723014,0.6129,0.8925000000000001,0.6639,0.905,0.9086000000000001
0.6,0.806,0.688,0.895,0.42226669475458184,0.9064039408866994,0.9080825716339734,0.7466999999999999,0.8927999999999999,0.6639,0.9073,0.9093000000000002
0.601,0.81,0.69,0.894,0.4208080274623712,0.9131693198263385,0.9153313346428203,0.7493,0.8923,0.663,0.9144000000000002,0.9171999999999999
0.465,0.774,0.581,0.896,0.41188344288597895,0.9059618930547019,0.9079566373491512,0.6179,0.8927999999999999,0.6571,0.9077000000000002,0.9100999999999999
0.458,0.774,0.575,0.897,0.41006746237675146,0.913241065895476,0.9148408433236874,0.6153000000000001,0.8946,0.6549999999999999,0.9146000000000001,0.9160999999999999
0.451,0.733,0.558,0.895,0.41006746237675146,0.9117161716171618,0.9127751491462662,0.6054999999999999,0.8928,0.6549999999999999,0.9126999999999998,0.9135000000000002
0.475,0.773,0.588,0.897,0.3703348364194569,0.9113351162312281,0.9123674183915148,0.63,0.8939999999999999,0.6384000000000001,0.9118,0.9136
0.462,0.733,0.567,0.896,0.3703348364194569,0.9147318676802958,0.9141622066694113,0.6100999999999999,0.8933,0.6384000000000001,0.917,0.9159
0.526,0.699,0.6,0.895,0.42242391884676994,0.9070791927056654,0.9087175274668857,0.6304000000000001,0.8925000000000001,0.6636999999999998,0.9094000000000001,0.9110999999999999
0.554,0.735,0.632,0.895,0.4134025483718735,0.9064368981246832,0.9045297582774731,0.6557,0.8926000000000001,0.6568999999999999,0.9101000000000001,0.9081999999999999
0.539,0.696,0.607,0.895,0.4134025483718735,0.9053405493720004,0.9070837166513339,0.6353,0.8922999999999999,0.6568999999999999,0.9076000000000001,0.9096999999999997
0.574,0.74,0.646,0.895,0.4134025483718735,0.9062149198897846,0.9086103486835417,0.6622,0.8925000000000001,0.6568999999999999,0.9082000000000001,0.9108
0.491,0.744,0.592,0.896,0.4134025483718735,0.9072081218274113,0.9083884087442806,0.6352,0.893,0.6568999999999999,0.9091000000000001,0.9109
0.625,0.702,0.661,0.896,0.41462772954485666,0.9039651150998885,0.905143552805113,0.6765000000000001,0.893,0.6597999999999999,0.9067999999999999,0.9089
0.312,0.738,0.439,0.893,0.41606962797855973,0.9093683246872141,0.908831036242981,0.5298,0.8894,0.6604999999999999,0.9118,0.9110999999999999
0.312,0.738,0.439,0.894,0.3977642276422764,0.9099535843218154,0.9095184541457928,0.5294000000000001,0.8924000000000001,0.6238999999999999,0.9103999999999999,0.913
0.314,0.744,0.442,0.895,0.3977642276422764,0.9102472048415223,0.9085154176026139,0.5317000000000001,0.8923,0.6238999999999999,0.9110999999999999,0.9105000000000001
0.312,0.738,0.439,0.896,0.39734360742167696,0.9107438016528926,0.909783728115345,0.5294000000000001,0.8938,0.6224,0.9109,0.9103
0.313,0.729,0.437,0.896,0.4024839703135255,0.9058871460582604,0.9091832588378709,0.5341000000000001,0.8934999999999998,0.628,0.9077999999999999,0.9119999999999999
0.305,0.706,0.426,0.897,0.4024839703135255,0.9103349673202614,0.9113381001021451,0.5257000000000001,0.8945000000000001,0.628,0.9109,0.9122999999999999
0.318,0.749,0.446,0.896,0.40421562200595035,0.9052503300497614,0.908776568697244,0.5418000000000001,0.8936000000000002,0.6299,0.9071,0.9115
0.706,0.83,0.763,0.896,0.3996227164416203,0.9074055210349393,0.9064660431069541,0.7655000000000001,0.8939,0.627,0.9089,0.9080999999999999
0.315,0.74,0.442,0.896,0.3996227164416203,0.9069081290060027,0.9092940578974098,0.5380999999999999,0.8933,0.627,0.9089,0.9114000000000001
0.316,0.742,0.444,0.897,0.403702027061013,0.9101449275362319,0.9142563046834791,0.5399,0.8943999999999999,0.6401000000000001,0.9107,0.9145000000000001
0.603,0.821,0.696,0.897,0.6079481185430963,0.9080969571944301,0.9104016477857878,0.7144,0.8943,0.6822,0.9079,0.9103
0.601,0.811,0.691,0.896,0.6079481185430963,0.911902044204628,0.9133809375970195,0.7101000000000001,0.8933,0.6822,0.9117000000000001,0.9134
0.601,0.811,0.69,0.896,0.6079481185430963,0.909128121162505,0.9106575033336752,0.7098000000000001,0.8938,0.6822,0.9103000000000001,0.9118999999999999
0.601,0.81,0.69,0.897,0.5949619561202629,0.9040680024286583,0.9048052604957005,0.7097,0.8940000000000001,0.6663,0.906,0.908
