P,P_std,R,R_std,F1_micro,F1_micro_std,F1_macro,F1_macro_std,F1_micro_boot,F1_micro_boot_std,F1_macro_boot,F1_macro_boot_std,F1_model_micro_boost_graph,F1_model_micro_boost_graph_std
0.903,0.0,0.903,0.0,0.903,0.0,0.9052999999999999,0.0,0.903,0.0,0.9040000000000001,0.0,0.917,0.0
0.907,0.0,0.901,0.0,0.904,0.0,0.9052999999999999,0.0,0.903,0.0,0.9045,0.0,0.92,0.0
0.908,0.0,0.901,0.0,0.904,0.0,0.907,0.0,0.903,0.0,0.9038,0.0,0.919,0.0
0.899,0.0,0.9,0.0,0.899,0.0,0.9015000000000001,0.0,0.904,0.0,0.9055000000000002,0.0,0.919,0.0
0.915,0.0,0.891,0.0,0.903,0.0,0.9037000000000001,0.0,0.904,0.0,0.9052,0.0,0.917,0.0
0.911,0.0,0.9,0.0,0.905,0.0,0.9061999999999999,0.0,0.906,0.0,0.907,0.0,0.921,0.0
0.909,0.0,0.906,0.0,0.908,0.0,0.9088,0.0,0.906,0.0,0.9075,0.0,0.919,0.0
0.879,0.0,0.897,0.0,0.888,0.0,0.8881,0.0,0.907,0.0,0.908,0.0,0.921,0.0
0.885,0.0,0.904,0.0,0.895,0.0,0.8962,0.0,0.907,0.0,0.9080999999999999,0.0,0.915,0.0
0.88,0.0,0.905,0.0,0.892,0.0,0.8965,0.0,0.908,0.0,0.9094999999999999,0.0,0.916,0.0
0.883,0.0,0.902,0.0,0.892,0.0,0.8962999999999999,0.0,0.908,0.0,0.9092,0.0,0.912,0.0
0.88,0.0,0.911,0.0,0.895,0.0,0.8992999999999999,0.0,0.909,0.0,0.9100999999999999,0.0,0.913,0.0
0.869,0.0,0.906,0.0,0.888,0.0,0.8915,0.0,0.908,0.0,0.9093,0.0,0.915,0.0
0.863,0.0,0.9,0.0,0.881,0.0,0.8832000000000001,0.0,0.909,0.0,0.9103000000000001,0.0,0.912,0.0
0.88,0.0,0.909,0.0,0.894,0.0,0.8998999999999999,0.0,0.909,0.0,0.9096,0.0,0.908,0.0
0.875,0.0,0.912,0.0,0.893,0.0,0.8971,0.0,0.911,0.0,0.9110000000000001,0.0,0.916,0.0
0.893,0.0,0.908,0.0,0.901,0.0,0.9037000000000001,0.0,0.91,0.0,0.9103,0.0,0.919,0.0
