P_model,P_model_std,R_model,R_model_std,F1_model_micro_one_lab,F1_model_micro_one_lab_std,F1_model_micro_one_boost,F1_model_micro_one_boost_std,F1_model_macro_one_lab,F1_model_macro_one_lab_std,F1_model_macro_one_boost,F1_model_macro_one_boost_std
0.913,0.0,0.937,0.0,0.925,0.0,0.926,0.0,0.9431666666666668,0.0,0.9451666666666666,0.0
0.906,0.0,0.929,0.0,0.917,0.0,0.922,0.0,0.9401666666666667,0.0,0.944,0.0
0.907,0.0,0.936,0.0,0.922,0.0,0.922,0.0,0.9418333333333333,0.0,0.9434999999999999,0.0
0.907,0.0,0.935,0.0,0.921,0.0,0.921,0.0,0.9421666666666667,0.0,0.9430000000000001,0.0
0.901,0.0,0.941,0.0,0.921,0.0,0.924,0.0,0.9421666666666667,0.0,0.9458333333333333,0.0
0.917,0.0,0.935,0.0,0.926,0.0,0.926,0.0,0.9475000000000001,0.0,0.9456666666666665,0.0
0.91,0.0,0.934,0.0,0.922,0.0,0.927,0.0,0.9428333333333333,0.0,0.948,0.0
0.916,0.0,0.933,0.0,0.924,0.0,0.924,0.0,0.9463333333333334,0.0,0.9453333333333335,0.0
0.911,0.0,0.938,0.0,0.925,0.0,0.925,0.0,0.945,0.0,0.9466666666666668,0.0
0.916,0.0,0.93,0.0,0.923,0.0,0.926,0.0,0.9431666666666666,0.0,0.9458333333333333,0.0
0.912,0.0,0.941,0.0,0.926,0.0,0.928,0.0,0.9458333333333333,0.0,0.9478333333333334,0.0
0.918,0.0,0.933,0.0,0.925,0.0,0.924,0.0,0.9453333333333335,0.0,0.9455,0.0
0.919,0.0,0.932,0.0,0.926,0.0,0.929,0.0,0.9466666666666667,0.0,0.948,0.0
0.91,0.0,0.932,0.0,0.921,0.0,0.925,0.0,0.9416666666666668,0.0,0.9470000000000001,0.0
0.919,0.0,0.934,0.0,0.926,0.0,0.922,0.0,0.9456666666666668,0.0,0.9435000000000001,0.0
0.915,0.0,0.935,0.0,0.925,0.0,0.925,0.0,0.945,0.0,0.9461666666666666,0.0
0.914,0.0,0.933,0.0,0.924,0.0,0.926,0.0,0.9403333333333334,0.0,0.9465,0.0
0.917,0.0,0.937,0.0,0.927,0.0,0.926,0.0,0.9466666666666667,0.0,0.9443333333333334,0.0
0.916,0.0,0.931,0.0,0.923,0.0,0.93,0.0,0.9443333333333334,0.0,0.949,0.0
0.919,0.0,0.924,0.0,0.922,0.0,0.924,0.0,0.9440000000000001,0.0,0.9440000000000001,0.0
0.903,0.0,0.933,0.0,0.918,0.0,0.923,0.0,0.941,0.0,0.9446666666666667,0.0
0.914,0.0,0.927,0.0,0.92,0.0,0.921,0.0,0.9423333333333334,0.0,0.9434999999999999,0.0
0.917,0.0,0.923,0.0,0.92,0.0,0.925,0.0,0.9423333333333334,0.0,0.9458333333333333,0.0
0.92,0.0,0.935,0.0,0.927,0.0,0.921,0.0,0.9431666666666666,0.0,0.9433333333333334,0.0
0.913,0.0,0.936,0.0,0.925,0.0,0.925,0.0,0.9433333333333334,0.0,0.9396666666666667,0.0
0.915,0.0,0.935,0.0,0.925,0.0,0.928,0.0,0.9441666666666668,0.0,0.9473333333333334,0.0
0.919,0.0,0.934,0.0,0.926,0.0,0.928,0.0,0.9453333333333332,0.0,0.9473333333333332,0.0
0.916,0.0,0.928,0.0,0.922,0.0,0.926,0.0,0.9433333333333332,0.0,0.9466666666666667,0.0
0.919,0.0,0.931,0.0,0.925,0.0,0.93,0.0,0.945,0.0,0.9486666666666665,0.0
0.916,0.0,0.932,0.0,0.924,0.0,0.929,0.0,0.9436666666666667,0.0,0.9485,0.0
0.912,0.0,0.934,0.0,0.923,0.0,0.928,0.0,0.9391666666666666,0.0,0.9471666666666666,0.0
0.916,0.0,0.928,0.0,0.922,0.0,0.926,0.0,0.9411666666666667,0.0,0.9420000000000001,0.0
0.919,0.0,0.939,0.0,0.929,0.0,0.93,0.0,0.9480000000000001,0.0,0.9481666666666667,0.0
0.92,0.0,0.929,0.0,0.924,0.0,0.933,0.0,0.9396666666666667,0.0,0.9510000000000001,0.0
0.917,0.0,0.938,0.0,0.927,0.0,0.93,0.0,0.9445,0.0,0.9460000000000001,0.0
0.916,0.0,0.933,0.0,0.925,0.0,0.93,0.0,0.9443333333333332,0.0,0.9496666666666665,0.0
0.916,0.0,0.929,0.0,0.922,0.0,0.925,0.0,0.9415,0.0,0.9466666666666667,0.0
0.917,0.0,0.928,0.0,0.923,0.0,0.928,0.0,0.944,0.0,0.9478333333333334,0.0
0.929,0.0,0.932,0.0,0.931,0.0,0.929,0.0,0.951,0.0,0.9473333333333332,0.0
0.922,0.0,0.924,0.0,0.923,0.0,0.934,0.0,0.9435000000000001,0.0,0.9528333333333334,0.0
0.92,0.0,0.932,0.0,0.926,0.0,0.931,0.0,0.9463333333333334,0.0,0.9491666666666667,0.0
0.913,0.0,0.933,0.0,0.923,0.0,0.932,0.0,0.9425000000000002,0.0,0.952,0.0
0.926,0.0,0.935,0.0,0.931,0.0,0.928,0.0,0.9491666666666667,0.0,0.9476666666666667,0.0
0.922,0.0,0.93,0.0,0.926,0.0,0.931,0.0,0.9434999999999999,0.0,0.9496666666666665,0.0
0.927,0.0,0.93,0.0,0.928,0.0,0.931,0.0,0.9468333333333333,0.0,0.9485000000000001,0.0
0.925,0.0,0.932,0.0,0.928,0.0,0.929,0.0,0.9486666666666667,0.0,0.9481666666666667,0.0
0.918,0.0,0.934,0.0,0.926,0.0,0.929,0.0,0.9438333333333334,0.0,0.9493333333333333,0.0
0.916,0.0,0.936,0.0,0.926,0.0,0.936,0.0,0.944,0.0,0.9521666666666667,0.0
0.922,0.0,0.928,0.0,0.925,0.0,0.934,0.0,0.9446666666666667,0.0,0.9511666666666666,0.0
0.915,0.0,0.93,0.0,0.922,0.0,0.931,0.0,0.9434999999999999,0.0,0.9494999999999999,0.0
0.924,0.0,0.932,0.0,0.928,0.0,0.932,0.0,0.944,0.0,0.9503333333333334,0.0
0.921,0.0,0.933,0.0,0.927,0.0,0.933,0.0,0.9431666666666666,0.0,0.9495,0.0
0.911,0.0,0.93,0.0,0.92,0.0,0.93,0.0,0.9328333333333334,0.0,0.9468333333333335,0.0
0.929,0.0,0.929,0.0,0.929,0.0,0.926,0.0,0.9446666666666667,0.0,0.9398333333333334,0.0
0.924,0.0,0.934,0.0,0.929,0.0,0.932,0.0,0.9451666666666666,0.0,0.952,0.0
0.931,0.0,0.927,0.0,0.929,0.0,0.933,0.0,0.9470000000000001,0.0,0.9508333333333333,0.0
0.916,0.0,0.932,0.0,0.924,0.0,0.932,0.0,0.9401666666666667,0.0,0.9513333333333334,0.0
0.914,0.0,0.936,0.0,0.925,0.0,0.925,0.0,0.9473333333333334,0.0,0.9435000000000001,0.0
0.928,0.0,0.932,0.0,0.93,0.0,0.929,0.0,0.9483333333333333,0.0,0.9501666666666667,0.0
0.912,0.0,0.932,0.0,0.922,0.0,0.934,0.0,0.9383333333333334,0.0,0.9513333333333334,0.0
0.918,0.0,0.938,0.0,0.928,0.0,0.928,0.0,0.9451666666666667,0.0,0.9434999999999999,0.0
0.922,0.0,0.935,0.0,0.929,0.0,0.93,0.0,0.9483333333333334,0.0,0.9480000000000001,0.0
0.917,0.0,0.939,0.0,0.928,0.0,0.93,0.0,0.9471666666666666,0.0,0.9506666666666667,0.0
0.918,0.0,0.935,0.0,0.927,0.0,0.933,0.0,0.9471666666666666,0.0,0.952,0.0
0.918,0.0,0.938,0.0,0.928,0.0,0.932,0.0,0.9473333333333334,0.0,0.9508333333333333,0.0
0.921,0.0,0.936,0.0,0.929,0.0,0.927,0.0,0.9475000000000001,0.0,0.9481666666666667,0.0
0.917,0.0,0.937,0.0,0.927,0.0,0.932,0.0,0.9478333333333332,0.0,0.952,0.0
0.92,0.0,0.938,0.0,0.929,0.0,0.928,0.0,0.9473333333333332,0.0,0.9485000000000001,0.0
0.928,0.0,0.941,0.0,0.934,0.0,0.928,0.0,0.9528333333333333,0.0,0.9480000000000001,0.0
0.919,0.0,0.946,0.0,0.932,0.0,0.932,0.0,0.9488333333333333,0.0,0.9516666666666667,0.0
0.921,0.0,0.938,0.0,0.929,0.0,0.93,0.0,0.9481666666666667,0.0,0.949,0.0
0.924,0.0,0.941,0.0,0.932,0.0,0.931,0.0,0.9516666666666668,0.0,0.9503333333333334,0.0
0.923,0.0,0.939,0.0,0.931,0.0,0.932,0.0,0.9494999999999999,0.0,0.9514999999999999,0.0
0.922,0.0,0.944,0.0,0.933,0.0,0.933,0.0,0.9525,0.0,0.9518333333333334,0.0
0.922,0.0,0.938,0.0,0.93,0.0,0.928,0.0,0.9495,0.0,0.9493333333333333,0.0
