addit_train_data_size,addit_train_data_acc,addit_train_data_f1,all_graph_acc,all_graph_f1,cc_distribution,small_cc,large_cc,bridges,wrong_bridges,cuts,wrong_cuts
255555,0.9957073819725695,0.946500853450378,0.993,0.916,"Counter({2: 1550, 3: 790, 4: 458, 5: 372, 6: 35, 7: 16, 8: 12, 9: 7, 10: 3, 11: 2, 21: 2, 17: 1, 22: 1, 32: 1, 12: 1})",3170,81,27,0,1,0
255455,0.9956665557534595,0.9457060179508558,0.992,0.913,"Counter({2: 1563, 3: 779, 4: 454, 5: 366, 6: 38, 7: 25, 8: 7, 9: 4, 10: 3, 12: 2, 11: 2, 21: 1, 22: 1, 15: 1, 37: 1, 16: 1, 13: 1, 1: 1})",3163,87,24,0,4,0
255177,0.9958146698174208,0.9466853035143769,0.992,0.916,"Counter({2: 1542, 3: 786, 4: 452, 5: 366, 6: 49, 7: 29, 8: 16, 9: 10, 10: 7, 12: 5, 11: 2, 16: 2, 30: 1, 19: 1, 13: 1, 15: 1})",3146,124,56,0,1,0
255127,0.9954101290729716,0.9413943246083779,0.992,0.909,"Counter({2: 1546, 3: 792, 4: 447, 5: 361, 6: 44, 7: 34, 8: 16, 11: 8, 10: 7, 9: 4, 12: 2, 24: 1, 14: 1, 15: 1, 13: 1, 26: 1, 1: 1})",3147,120,40,1,4,0
255334,0.9957898282249916,0.9469633430361637,0.992,0.913,"Counter({2: 1535, 3: 803, 4: 451, 5: 361, 6: 46, 7: 25, 8: 14, 10: 6, 9: 5, 12: 2, 36: 1, 18: 1, 29: 1, 1: 1})",3151,101,36,1,3,0
255818,0.995657068697277,0.9462636033857316,0.993,0.92,"Counter({2: 1566, 3: 794, 4: 451, 5: 372, 6: 26, 7: 20, 8: 12, 10: 3, 9: 2, 21: 1, 40: 1, 17: 1, 11: 1})",3183,67,24,0,4,0
254932,0.9964186528172219,0.9543020171179739,0.992,0.917,"Counter({2: 1524, 3: 785, 4: 456, 5: 370, 6: 46, 7: 31, 9: 16, 8: 13, 10: 10, 12: 2, 34: 1, 21: 1, 28: 1, 16: 1, 17: 1, 13: 1, 11: 1, 26: 1, 1: 1})",3136,126,40,1,1,0
255294,0.9966274178006533,0.9577464788732394,0.993,0.925,"Counter({2: 1540, 3: 793, 4: 440, 5: 391, 6: 44, 7: 30, 8: 10, 9: 7, 10: 6, 12: 3, 14: 2, 11: 2, 23: 1, 30: 1, 19: 1})",3164,107,35,0,1,0
255119,0.996809332115601,0.9599172739806973,0.993,0.922,"Counter({2: 1531, 3: 786, 4: 458, 5: 382, 6: 39, 7: 31, 9: 10, 8: 10, 10: 7, 42: 1, 21: 1, 28: 1, 19: 1, 24: 1, 12: 1, 17: 1, 15: 1, 11: 1, 1: 1})",3158,106,29,0,1,0
255385,0.9967186796405427,0.9590860267551996,0.993,0.927,"Counter({2: 1574, 3: 796, 4: 449, 5: 387, 6: 38, 7: 27, 8: 12, 9: 3, 10: 3, 11: 3, 15: 3, 12: 1, 21: 1, 14: 1, 20: 1, 27: 1, 13: 1})",3206,95,20,0,2,0
255343,0.9967416377186764,0.9591836734693877,0.994,0.93,"Counter({2: 1551, 3: 808, 4: 449, 5: 388, 6: 40, 7: 26, 8: 12, 10: 7, 9: 5, 12: 4, 14: 3, 13: 3, 11: 3, 22: 1, 18: 1, 15: 1, 1: 1})",3197,106,36,0,2,0
254308,0.9966025449454992,0.9562176953481301,0.991,0.904,"Counter({2: 1539, 3: 801, 4: 433, 5: 380, 6: 68, 7: 30, 8: 20, 9: 12, 10: 5, 11: 3, 42: 2, 12: 1, 14: 1, 17: 1, 18: 1, 16: 1, 19: 1, 26: 1, 15: 1, 30: 1})",3153,149,58,0,0,0
255444,0.9970130439548394,0.9632058639147418,0.994,0.929,"Counter({2: 1561, 3: 800, 4: 456, 5: 395, 6: 32, 7: 20, 8: 8, 11: 7, 10: 5, 9: 3, 12: 2, 25: 1, 29: 1, 15: 1, 13: 1, 19: 1, 20: 1})",3212,83,27,0,0,0
254995,0.9969842545932274,0.9620752576811165,0.993,0.921,"Counter({2: 1552, 3: 799, 4: 437, 5: 392, 6: 45, 7: 27, 8: 15, 9: 6, 10: 6, 11: 3, 15: 2, 36: 1, 27: 1, 24: 1, 12: 1, 32: 1, 14: 1, 1: 1})",3181,110,30,0,2,0
255691,0.9972584095646698,0.9662996971299457,0.995,0.939,"Counter({2: 1569, 3: 829, 4: 458, 5: 384, 6: 44, 7: 13, 8: 10, 10: 4, 9: 3, 13: 1, 24: 1, 16: 1, 11: 1, 14: 1, 31: 1, 12: 1})",3240,81,21,0,1,0
254884,0.9970653316802938,0.9629556259904912,0.993,0.921,"Counter({2: 1553, 3: 820, 4: 443, 5: 379, 6: 34, 7: 27, 8: 12, 10: 8, 12: 7, 9: 6, 13: 4, 11: 3, 15: 2, 36: 1, 23: 1, 29: 1, 40: 1, 16: 1, 21: 1, 1: 1})",3196,109,35,0,1,0
252690,0.9962760694922632,0.94753860734794,0.988,0.878,"Counter({2: 1412, 3: 750, 4: 454, 5: 329, 6: 77, 7: 51, 8: 22, 9: 19, 10: 13, 12: 5, 13: 5, 11: 5, 14: 5, 32: 3, 16: 2, 18: 2, 19: 2, 23: 2, 22: 2, 28: 2, 31: 1, 35: 1, 46: 1, 61: 1, 30: 1, 24: 1, 15: 1, 21: 1, 27: 1})",2945,226,96,0,2,0
255064,0.996761597089358,0.9595058339052848,0.993,0.919,"Counter({2: 1525, 3: 829, 4: 452, 5: 383, 6: 44, 7: 26, 8: 14, 9: 4, 10: 4, 14: 3, 12: 2, 17: 1, 29: 1, 37: 1, 28: 1, 21: 1, 13: 1})",3189,103,39,0,2,0
255431,0.9970520414515075,0.9635968092820885,0.994,0.93,"Counter({2: 1580, 3: 815, 4: 448, 5: 394, 6: 40, 7: 24, 8: 9, 9: 5, 10: 3, 15: 2, 29: 1, 33: 1, 13: 1, 11: 1})",3237,87,17,0,0,0
254867,0.9967747884190578,0.959201905896367,0.993,0.919,"Counter({2: 1539, 3: 804, 4: 449, 5: 387, 6: 50, 7: 33, 9: 12, 8: 11, 10: 7, 11: 3, 15: 2, 14: 2, 13: 1, 17: 1, 29: 1, 37: 1, 19: 1, 18: 1})",3179,126,50,0,1,0
255449,0.9969074061750095,0.961709965102753,0.994,0.93,"Counter({2: 1566, 3: 820, 4: 457, 5: 384, 6: 34, 7: 26, 8: 13, 9: 8, 10: 3, 16: 1, 30: 1, 35: 1, 13: 1})",3227,88,21,0,1,0
255448,0.9972440574989822,0.9659343849801605,0.994,0.933,"Counter({2: 1580, 3: 810, 4: 452, 5: 389, 6: 38, 7: 22, 8: 14, 9: 4, 10: 4, 27: 1, 12: 1, 28: 1, 19: 1, 25: 1, 11: 1})",3231,88,24,0,0,0
254335,0.996496746417127,0.9549476664812662,0.991,0.904,"Counter({2: 1515, 3: 800, 4: 461, 5: 369, 6: 58, 7: 33, 8: 22, 9: 8, 10: 6, 11: 5, 15: 3, 18: 2, 22: 1, 12: 1, 13: 1, 48: 1, 20: 1, 33: 1, 16: 1})",3145,144,38,0,1,0
254681,0.9968666684990243,0.960553633217993,0.992,0.909,"Counter({2: 1556, 3: 810, 4: 445, 5: 381, 6: 44, 7: 26, 8: 13, 10: 9, 9: 3, 11: 3, 15: 2, 13: 2, 21: 1, 17: 1, 12: 1, 36: 1, 16: 1, 14: 1, 41: 1, 29: 1, 1: 1})",3193,110,21,0,4,0
253921,0.9966249345268804,0.9549587428391234,0.991,0.905,"Counter({2: 1499, 3: 785, 4: 435, 5: 360, 6: 65, 7: 33, 8: 18, 10: 12, 9: 9, 11: 6, 13: 5, 12: 4, 18: 3, 16: 2, 14: 2, 21: 2, 15: 2, 38: 1, 31: 1, 80: 1, 56: 1, 17: 1, 29: 1, 20: 1, 1: 1})",3080,170,72,0,2,0
